date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d
2010-10-26,1.38666,1.458,1.36734,1.424,9912615,21.36,2.45,7392938.9
2010-10-27,1.41666,1.4253399999999998,1.37666,1.4,5347500,21.0,-1.69,6183221.2
2010-10-28,1.426,1.43334,1.39734,1.41266,3362850,21.1899,0.91,4703895.0
2010-10-29,1.40934,1.45666,1.40346,1.456,4210230,21.84,3.07,4465103.25
2010-11-01,1.46266,1.51666,1.4206599999999998,1.42734,6836760,21.4101,-1.97,4324242.0
2010-11-02,1.4453399999999998,1.45862,1.40334,1.41666,4836975,21.2499,-0.74,4317138.75
2010-11-03,1.41866,1.5,1.41066,1.4513399999999999,5612985,21.7701,2.44,4362624.0
2010-11-04,1.50666,1.6886599999999998,1.47674,1.66,28122014,24.9,14.38,5662959.7
2010-11-05,1.6580000000000001,1.6646599999999998,1.58134,1.62934,15164189,24.4401,-1.85,6220086.65
2010-11-08,1.63334,1.66666,1.602,1.66534,7642125,24.9801,2.21,6473797.4
2010-11-09,1.66666,1.71266,1.60334,1.642,14366234,24.63,-1.4,7009175.1
2010-11-10,1.632,1.998,1.60334,1.9573399999999999,45915568,29.3601,19.2,9064547.75
2010-11-11,1.90666,1.9400000000000002,1.8219999999999998,1.869,29176409,28.035,-4.51,10302403.2
2010-11-12,1.88334,2.03334,1.87134,1.9893399999999999,40937533,29.8401,6.44,12135649.85
2010-11-15,2.01466,2.19596,2.01466,2.05334,39376993,30.8001,3.22,13982452.75
2010-11-16,2.06666,2.09334,1.8946599999999998,1.978,20215964,29.67,-3.67,14809405.7
2010-11-17,2.01334,2.05,1.9073399999999998,1.966,11255115,29.49,-0.61,15137828.45
2010-11-18,2.04466,2.04934,1.9280000000000002,1.99266,14343719,29.8899,1.36,15541515.15
2010-11-19,2.01066,2.09134,1.98,2.066,17257409,30.99,3.68,16283619.85
2010-11-22,2.10466,2.23,2.1,2.2266600000000003,22949579,33.3999,7.78,17342138.3
2010-11-23,2.2193400000000003,2.37866,2.146,2.3046599999999997,23671049,34.5699,3.5,18030060.0
2010-11-24,2.35134,2.3979999999999997,2.2889399999999998,2.36466,21374384,35.4699,2.6,18831404.2
2010-11-26,2.37334,2.4,2.3166599999999997,2.35466,5258310,35.3199,-0.42,18926177.2
2010-11-29,2.3608,2.39666,2.222,2.28866,17183144,34.3299,-2.8,19574822.9
2010-11-30,2.2493399999999997,2.35534,2.22734,2.35534,33344369,35.3301,2.91,20900203.35
2010-12-01,2.39134,2.428,2.23,2.29,19487624,34.35,-2.77,21632735.8
2010-12-02,2.26734,2.2864999999999998,2.08,2.15666,30104504,32.3499,-5.82,22857311.75
2010-12-03,2.134,2.15,2.058,2.09934,17406899,31.4901,-2.66,22321556.0
2010-12-06,2.09,2.09666,1.9706599999999999,2.02066,19115624,30.3099,-3.74,22519127.75
2010-12-07,2.03266,2.1599999999999997,2.00334,2.104,19673219,31.56,4.12,23120682.45
2010-12-08,2.16534,2.166,2.10134,2.158,9914700,32.37,2.57,22898105.75
2010-12-09,2.1673400000000003,2.18134,2.11,2.13666,6089745,32.0499,-0.99,20906814.6
2010-12-10,2.13666,2.19466,2.0753399999999997,2.10134,6440715,31.5201,-1.66,19770029.9
2010-12-13,2.10934,2.118,2.0266599999999997,2.03666,6154965,30.5499,-3.07,18030901.5
2010-12-14,2.0193399999999997,2.026,1.8507399999999998,1.9020000000000001,26503649,28.53,-6.61,17387234.3
2010-12-15,1.91134,1.998,1.9020000000000001,1.97334,11143500,29.6001,3.75,16933611.1
2010-12-16,2.0,2.06066,1.97668,2.054,11851049,30.81,4.09,16963407.8
2010-12-17,2.08934,2.1026599999999998,2.04734,2.0906599999999997,12207254,31.3599,1.79,16856584.55
2010-12-20,2.10934,2.146,2.084,2.11334,7849800,31.7001,1.08,16386204.1
2010-12-21,2.12,2.17934,2.114,2.1506600000000002,11665169,32.2599,1.77,15821983.6
2010-12-22,2.15,2.1906600000000003,2.11334,2.17534,12498839,32.6301,1.14,15263373.1
2010-12-23,2.084,2.16534,1.9946599999999999,2.006,23356874,30.09,-7.78,15362497.6
2010-12-27,1.8679999999999999,1.90534,1.6706599999999998,1.70326,139534929,25.5489,-15.09,22076328.55
2010-12-28,1.72334,1.78334,1.66666,1.76066,60848832,26.4099,3.37,24259612.95
2010-12-29,1.802,1.86734,1.76666,1.84866,49791448,27.7299,5.0,25081966.9
2010-12-30,1.84666,1.8599999999999999,1.75866,1.76666,30616004,26.4999,-4.44,25638385.9
2010-12-31,1.77134,1.81666,1.76666,1.77534,21267704,26.6301,0.49,25196545.9
2011-01-03,1.78934,1.8,1.7266599999999999,1.7746600000000001,19261259,26.6199,-0.03,25289263.9
2011-01-04,1.77734,1.79666,1.7346599999999999,1.778,17836064,26.67,0.19,25225285.9
2011-01-05,1.76534,1.79334,1.746,1.78866,21703034,26.8299,0.6,25326776.65
2011-01-06,1.78866,1.86666,1.78734,1.85866,30918254,27.8799,3.91,26376954.35
2011-01-07,1.86666,1.90534,1.8599999999999999,1.8826599999999998,33743099,28.2399,1.29,27759622.05
2011-01-10,1.8780000000000001,1.912,1.87,1.89666,20142179,28.4499,0.74,28444695.25
2011-01-11,1.906,1.914,1.79466,1.79734,25670324,26.9601,-5.24,29420463.2
2011-01-12,1.80066,1.8266,1.768,1.79734,14470829,26.9601,0.0,28818822.2
2011-01-13,1.79734,1.7979999999999998,1.744,1.748,10852830,26.22,-2.74,28804288.7
2011-01-14,1.74334,1.7719999999999998,1.7073399999999999,1.71666,17881814,25.7499,-1.79,29105826.95
2011-01-18,1.69866,1.70934,1.65,1.70934,24357584,25.6401,-0.43,29713343.45
2011-01-19,1.68466,1.698,1.58334,1.602,35572708,24.03,-6.28,31099488.85
2011-01-20,1.602,1.63,1.49134,1.508,34199369,22.62,-5.87,32226198.85
2011-01-21,1.54134,1.57266,1.514,1.536,18254114,23.04,1.86,32513962.6
2011-01-24,1.5686600000000002,1.654,1.54866,1.6326599999999998,24677834,24.4899,6.3,32580010.6
2011-01-25,1.6433399999999998,1.65934,1.60134,1.64534,19073354,24.6801,0.77,26556931.85
2011-01-26,1.64734,1.65866,1.60666,1.65,16198004,24.75,0.29,24324390.45
2011-01-27,1.64934,1.672,1.63534,1.66134,13434824,24.9201,0.68,22506559.25
2011-01-28,1.65866,1.65866,1.58334,1.6006599999999997,15732164,24.0099,-3.65,21762367.25
2011-01-31,1.60334,1.608,1.56666,1.60666,12473624,24.0999,0.37,21322663.25
2011-02-01,1.62066,1.64866,1.56934,1.594,10616865,23.91,-0.79,20890443.55
2011-02-02,1.61066,1.6119999999999999,1.57794,1.596,8542080,23.94,0.13,20425744.35
2011-02-03,1.588,1.59334,1.54334,1.57534,7681005,23.6301,-1.3,19724642.9
2011-02-04,1.5626600000000002,1.578,1.5479999999999998,1.564,8158755,23.46,-0.72,18586667.95
2011-02-07,1.55066,1.55066,1.52534,1.538,13425164,23.07,-1.66,17570771.2
2011-02-08,1.58534,1.68334,1.53334,1.6326599999999998,52577743,24.4899,6.16,19192549.4
2011-02-09,1.60866,1.6119999999999999,1.51934,1.54734,39543928,23.2101,-5.23,19886229.6
2011-02-10,1.55066,1.576,1.52066,1.54766,12540299,23.2149,0.03,19789703.1
2011-02-11,1.55,1.58334,1.5293400000000001,1.55,9549030,23.25,0.15,19724513.1
2011-02-14,1.576,1.60934,1.5366600000000001,1.53866,19251059,23.0799,-0.73,19792975.35
2011-02-15,1.534,1.54466,1.504,1.52266,14412764,22.8399,-1.04,19295734.35
2011-02-16,1.54,1.6646599999999998,1.538,1.64866,61737087,24.7299,8.27,20603953.3
2011-02-17,1.642,1.69934,1.57,1.57334,39299128,23.6001,-4.57,20858941.25
2011-02-18,1.5553400000000002,1.5659999999999998,1.5306600000000001,1.54534,35561548,23.1801,-1.78,21724312.95
2011-02-22,1.52534,1.53334,1.452,1.458,30968099,21.87,-5.65,22038826.2
2011-02-23,1.47866,1.5,1.40734,1.45534,24085619,21.8301,-0.19,22289439.45
2011-02-24,1.452,1.5053400000000001,1.43334,1.502,15831749,22.53,3.21,22271126.7
2011-02-25,1.52066,1.59,1.5126600000000001,1.5739999999999998,20208854,23.61,4.79,22609828.2
2011-02-28,1.58266,1.60666,1.56666,1.59266,15766589,23.8899,1.19,22611549.45
2011-03-01,1.60334,1.62134,1.5799999999999998,1.596,16595249,23.94,0.21,22817630.7
2011-03-02,1.588,1.61866,1.58166,1.60134,9949410,24.0201,0.33,22784257.95
2011-03-03,1.632,1.65266,1.6039999999999999,1.6239999999999999,9602100,24.36,1.42,22837258.95
2011-03-04,1.632,1.666,1.58534,1.6633399999999998,23701499,24.9501,2.42,23638283.65
2011-03-07,1.662,1.6933399999999998,1.64666,1.66266,30502964,24.9399,-0.04,24755494.1
2011-03-08,1.6400000000000001,1.664,1.6,1.644,20997764,24.66,-1.12,25134124.1
2011-03-09,1.644,1.666,1.6179999999999999,1.648,13870814,24.72,0.24,23198777.65
2011-03-10,1.62934,1.6326599999999998,1.582,1.6006599999999997,15255704,24.0099,-2.87,21984366.45
2011-03-11,1.59,1.61666,1.5686600000000002,1.60466,13961909,24.0699,0.25,22055446.95
2011-03-14,1.588,1.6,1.54666,1.55,17489564,23.25,-3.41,22452473.65
2011-03-15,1.48,1.5306600000000001,1.45334,1.53,19783034,22.95,-1.29,22479072.4
2011-03-16,1.524,1.55,1.5126600000000001,1.52134,17545139,22.8201,-0.57,22635691.15
2011-03-17,1.5493400000000002,1.562,1.50934,1.52066,13837559,22.8099,-0.04,20240714.75
2011-03-18,1.546,1.546,1.5006599999999999,1.5306600000000001,10317345,22.9599,0.66,18791625.6
2011-03-21,1.5366600000000001,1.5366600000000001,1.5026599999999999,1.51534,6174750,22.7301,-1.01,17322285.7
2011-03-22,1.51534,1.524,1.46666,1.47934,8742195,22.1901,-2.38,16210990.5
2011-03-23,1.474,1.4846599999999999,1.4513399999999999,1.48066,6341895,22.2099,0.09,15323804.3
2011-03-24,1.476,1.492,1.46534,1.4886599999999999,6932400,22.3299,0.54,14878836.85
2011-03-25,1.49534,1.53334,1.49334,1.51666,8518830,22.7499,1.88,14294335.65
2011-03-28,1.51334,1.56926,1.5033400000000001,1.55,15870269,23.25,2.2,14299519.65
2011-03-29,1.55334,1.6,1.54734,1.59466,11333865,23.9199,2.88,14036450.45
2011-03-30,1.60734,1.6326599999999998,1.534,1.58066,18358154,23.7099,-0.88,14456887.65
2011-03-31,1.77,1.914,1.76666,1.8499999999999999,172835092,27.75,17.04,22618537.25
2011-04-01,1.8299999999999998,1.87866,1.77134,1.77734,42976303,26.6601,-3.93,23582277.45
2011-04-04,1.78866,1.8,1.682,1.7219999999999998,39138403,25.83,-3.11,24014049.4
2011-04-05,1.7266599999999999,1.8,1.71266,1.78,47725903,26.7,3.37,25350456.35
2011-04-06,1.7993400000000002,1.80066,1.72,1.7659999999999998,19324454,26.49,-0.79,25623138.35
2011-04-07,1.79,1.86266,1.76334,1.8159999999999998,42161488,27.24,2.83,26968427.55
2011-04-08,1.83866,1.84002,1.75734,1.7659999999999998,29195279,26.49,-2.75,27730096.05
2011-04-11,1.76466,1.7686600000000001,1.668,1.68466,20582999,25.2699,-4.6,27884767.8
2011-04-12,1.672,1.68066,1.62,1.6433399999999998,20361014,24.6501,-2.46,27913666.8
2011-04-13,1.6753399999999998,1.71266,1.654,1.662,18171659,24.93,1.14,27944992.8
2011-04-14,1.6580000000000001,1.68534,1.61334,1.676,14750729,25.14,0.84,27990651.3
2011-04-15,1.71,1.74534,1.694,1.70534,14151764,25.5801,1.75,28182372.25
2011-04-18,1.6753399999999998,1.708,1.6239999999999999,1.66866,15508064,25.0299,-2.15,28649037.95
2011-04-19,1.6840000000000002,1.6840000000000002,1.6433399999999998,1.67734,8230395,25.1601,0.52,28623447.95
2011-04-20,1.7133399999999999,1.7393399999999999,1.68666,1.71666,12562034,25.7499,2.35,28934454.9
2011-04-21,1.72334,1.79866,1.706,1.78266,20790794,26.7399,3.84,29627374.6
2011-04-25,1.78,1.782,1.7313399999999999,1.75934,12012584,26.3901,-1.31,29802062.3
2011-04-26,1.77734,1.81666,1.7539999999999998,1.79534,20585144,26.9301,2.05,30037806.05
2011-04-27,1.79534,1.8239999999999998,1.77534,1.8053400000000002,14953514,27.0801,0.56,30218788.5
2011-04-28,1.80466,1.846,1.78134,1.844,24674954,27.66,2.14,30534628.5
2011-04-29,1.846,1.858,1.828,1.84,10895100,27.6,-0.22,22437628.9
